"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030217","GO:0030217","T cell differentiation","33/416","359/25730",0.0919220055710306,5.68546443111206,11.4606383416417,9.49933160398551e-16,2.63237490388666e-12,1.9592629402269e-12,"Men1/Ifnar2/Ctla2a/Fosl2/Syk/Rora/Kit/Sox12/Smad7/Tgfbr2/Nkx2-3/Clptm1/Cd44/Lef1/Flt3/Runx1/Runx2/Sh2b3/Psap/Zfp36l2/Tcf3/Cracr2a/Arid1a/Icosl/Il4/Kat7/Lig4/Hmga1/Smarce1/Stat5b/Foxp1/Jag2/Relb",33
"GO:0030098","GO:0030098","lymphocyte differentiation","38/416","486/25730",0.0781893004115226,4.8360834124723,10.9447241916917,1.21812813692118e-15,2.63237490388666e-12,1.9592629402269e-12,"Men1/Ifnar2/Ctla2a/Fosl2/Syk/Laptm5/Rora/Kit/Sox12/Smad7/Tgfbr2/Il9r/Nkx2-3/Clptm1/Cd44/Lef1/Flt3/Runx1/Runx2/Ptpn6/Sh2b3/Psap/Zfp36l2/Tcf3/Cracr2a/Arid1a/Icosl/Yy1/Il4/Kat7/Lig4/Hmga1/Smarce1/Zbtb7a/Stat5b/Foxp1/Jag2/Relb",38
"GO:0070661","GO:0070661","leukocyte proliferation","28/416","381/25730",0.073490813648294,4.54547748839087,8.93788032400224,3.36657342111388e-11,4.85011010868473e-08,3.60991171049966e-08,"Tnfrsf13c/Ifnar2/Fosl2/Csf2ra/Syk/Csf2rb/Ebi3/Laptm5/Kit/Tgfbr2/Il9r/Cd44/Lef1/Flt3/Gpnmb/Ptpn6/Prkcd/Dock8/P2rx7/Tcf3/Prkcq/Icosl/Ptpn11/Il4/Hspd1/Fkbp1a/Stat5b/Impdh1",28
"GO:0046651","GO:0046651","lymphocyte proliferation","25/416","336/25730",0.0744047619047619,4.60200606684982,8.51973824426463,3.00745477037057e-10,3.2495548793854e-07,2.41862678375065e-07,"Tnfrsf13c/Ifnar2/Fosl2/Syk/Ebi3/Laptm5/Tgfbr2/Il9r/Cd44/Lef1/Flt3/Gpnmb/Ptpn6/Prkcd/Dock8/P2rx7/Tcf3/Prkcq/Icosl/Ptpn11/Il4/Hspd1/Fkbp1a/Stat5b/Impdh1",25
"GO:0032943","GO:0032943","mononuclear cell proliferation","25/416","343/25730",0.0728862973760933,4.50808757568962,8.38473856593078,4.62850064152841e-10,3.42587820427575e-07,2.54986331675557e-07,"Tnfrsf13c/Ifnar2/Fosl2/Syk/Ebi3/Laptm5/Tgfbr2/Il9r/Cd44/Lef1/Flt3/Gpnmb/Ptpn6/Prkcd/Dock8/P2rx7/Tcf3/Prkcq/Icosl/Ptpn11/Il4/Hspd1/Fkbp1a/Stat5b/Impdh1",25
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","29/416","458/25730",0.0633187772925764,3.91632725898556,8.07285070037811,5.08696037602031e-10,3.42587820427575e-07,2.54986331675557e-07,"Men1/Rcc2/Dpf1/Gpnmb/Ptpn6/Crlf3/Ppp2r3d/Anapc15-ps/Wac/Mta3/Zfp36l2/Bcl7c/Tcf3/Anp32b/Nek6/Rassf1/Prkcq/E2f1/Arid1a/Plk5/Rpa2/Ptpn11/Pdik1l/Hexim2/Cdk17/Fem1b/Smarce1/Mepce/Jade1",29
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","25/416","346/25730",0.0722543352601156,4.46900011116052,8.32798749769904,5.5486227278876e-10,3.42587820427575e-07,2.54986331675557e-07,"Men1/Rcc2/Dpf1/Gpnmb/Ptpn6/Crlf3/Ppp2r3d/Anapc15-ps/Wac/Mta3/Zfp36l2/Bcl7c/Tcf3/Anp32b/Nek6/Prkcq/E2f1/Arid1a/Plk5/Rpa2/Pdik1l/Hexim2/Smarce1/Mepce/Jade1",25
"GO:0042113","GO:0042113","B cell activation","24/416","327/25730",0.073394495412844,4.53952011291461,8.25759326742191,9.02952347354287e-10,4.87820005658154e-07,3.63081891251934e-07,"Tnfrsf13c/Fosl2/Syk/Nod2/Laptm5/Kit/Il9r/Nkx2-3/Lef1/Flt3/Ptpn6/Prkcd/Zfp36l2/Tcf3/Icosl/Yy1/Skap2/Il4/Hspd1/Lig4/Hmga1/Zbtb7a/Stat5b/Foxp1",24
"GO:2000045","GO:2000045","regulation of G1/S transition of mitotic cell cycle","17/416","162/25730",0.104938271604938,6.49053300094967,8.98672320821032,1.2873834840671e-09,6.1823015757089e-07,4.60145488574159e-07,"Men1/Dpf1/Gpnmb/Ptpn6/Crlf3/Ppp2r3d/Wac/Bcl7c/Tcf3/Anp32b/E2f1/Arid1a/Plk5/Rpa2/Smarce1/Mepce/Jade1",17
"GO:1902806","GO:1902806","regulation of cell cycle G1/S phase transition","18/416","188/25730",0.0957446808510638,5.92190057283142,8.68284486358303,1.86185210191502e-09,8.04692478447672e-07,5.98928423521296e-07,"Men1/Dpf1/Gpnmb/Ptpn6/Crlf3/Ppp2r3d/Wac/Bcl7c/Tcf3/Anp32b/Rassf1/E2f1/Arid1a/Plk5/Rpa2/Smarce1/Mepce/Jade1",18
