"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021953","GO:0021953","central nervous system neuron differentiation","40/497","298/25730",0.134228187919463,6.94907701241003,14.4968174327859,4.43996429651057e-22,1.98644002625883e-18,1.28525282267411e-18,"Ntf3/Rorb/Mib1/Sox1/Bmpr1a/Sfrp1/Wnt5a/Rora/Grid2/En2/Epha2/Draxin/Pou3f2/Ntrk2/Erbb4/Ptger3/Fezf2/Tbx20/Zswim6/Dlx5/En1/Fat3/Id4/Sall1/Nkx2-1/Ptk2/Lmx1a/Dcc/Cbln1/Phox2b/Lhx5/Adarb1/Sall3/Efna1/Epha4/Runx1/Nkx6-2/Wnt7a/Psap/Fezf1",40
"GO:0001764","GO:0001764","neuron migration","28/497","224/25730",0.125,6.47132796780684,11.5425239395939,5.22642265324818e-15,1.16915074753162e-11,7.56455910338552e-12,"Sox1/Mdga2/Nav1/Nr2f2/Sox14/Nrg3/Itga3/Ntrk2/Erbb4/Sema6a/Fezf2/Tbx20/Phactr1/Zswim6/Fat1/Fat3/Neo1/Ntrk3/Auts2/Gata3/Nkx2-1/Ptk2/Dcc/Phox2b/Kirrel3/Unc5c/Lrig2/Fezf1",28
"GO:0072001","GO:0072001","renal system development","36/497","395/25730",0.0911392405063291,4.71833532842625,10.4518182834572,1.49535358364711e-14,2.23007064441238e-11,1.44288503685247e-11,"Wwtr1/Irx2/Tacstd2/Podxl/Magi2/Irx1/Osr1/Npnt/Sfrp1/Bmp4/Wnt5a/Rarb/Gdnf/Myo1e/Id2/Egr1/Itga3/Erbb4/Nfia/Sulf2/Fras1/Mecom/Pou3f3/Zbtb16/Sall1/Gata3/Basp1/Gcnt1/Adamts1/Car2/Kirrel3/Epha4/Osr2/Cyp26b1/Pbx1/Itgb3",36
"GO:0030900","GO:0030900","forebrain development","39/497","477/25730",0.0817610062893082,4.23281829340825,10.0020540965919,4.01185795027063e-14,4.4872631173777e-11,2.90331825348533e-11,"Dmd/Sox1/Bmpr1a/Msx1/Kcna1/Bmp4/Wnt5a/Foxb1/Rarb/Alk/Id2/Nr2f2/Draxin/Nrg3/Pou3f2/Ntrk2/Erbb4/Ptger3/Fezf2/Phactr1/Zswim6/Mecom/Dlx5/Sema5a/Slc6a3/Pou3f3/Id4/Sema7a/Sall1/Ncam1/Nkx2-1/Lmx1a/Lhx5/Sox3/Sall3/Kirrel3/Six3/Wnt7a/Fezf1",39
"GO:0001822","GO:0001822","kidney development","34/497","382/25730",0.0890052356020942,4.60785656346456,9.97043942551891,1.63267134237978e-13,1.46091431716143e-10,9.45230777167241e-11,"Wwtr1/Irx2/Tacstd2/Podxl/Magi2/Irx1/Osr1/Npnt/Sfrp1/Bmp4/Wnt5a/Rarb/Gdnf/Myo1e/Id2/Egr1/Itga3/Erbb4/Sulf2/Fras1/Pou3f3/Zbtb16/Sall1/Gata3/Basp1/Gcnt1/Adamts1/Car2/Kirrel3/Epha4/Osr2/Cyp26b1/Pbx1/Itgb3",34
"GO:0061448","GO:0061448","connective tissue development","32/497","345/25730",0.0927536231884058,4.80191292683638,9.97765157110687,2.79848615475082e-13,1.78863243662217e-10,1.15726871061124e-10,"Dmd/Evc/Bmpr1a/Creb5/Msx1/Axin2/Osr1/Bmp4/Wnt5a/Rarb/Rorc/Lox/Id2/Egr1/Snai2/Nfia/Sulf2/Ext2/Lpl/Mkx/Zbtb16/Id4/Mboat2/Nr5a2/Col11a1/Gata3/Ror2/Runx1/Osr2/Wnt7a/Thbs1/Itgb3",32
"GO:0090596","GO:0090596","sensory organ morphogenesis","32/497","345/25730",0.0927536231884058,4.80191292683638,9.97765157110687,2.79848615475082e-13,1.78863243662217e-10,1.15726871061124e-10,"Aldh1a1/Rorb/Sox1/Adamts9/Msx1/Osr1/Bmp4/Wnt5a/Rarb/Eya4/Thy1/Kcnq1/Epha2/Hcn1/Ntrk2/Col8a1/Cryaa/Dlx5/Fat1/Tenm3/Fat3/Col11a1/Gata3/Dlx6/Insig1/Mafb/Ror2/Osr2/Bcr/Cyp26b1/Six3/Fzd5",32
"GO:0048562","GO:0048562","embryonic organ morphogenesis","31/497","349/25730",0.0888252148997135,4.59853677941575,9.49925396387424,2.07995584725271e-12,1.16321530757608e-09,7.52615602624335e-10,"Aldh1a1/Mib1/Ryr2/Hoxb8/Msx1/Osr1/Bmp4/Wnt5a/Rarb/Eya4/Kcnq1/Id2/Epha2/Cryaa/Tbx20/Dlx5/Hoxb6/Hoxb2/Col11a1/Gata3/Dlx6/Tgfb3/Insig1/Mmp14/Efna1/Mafb/Ror2/Osr2/Bcr/Six3/Fzd5",31
"GO:0072006","GO:0072006","nephron development","22/497","181/25730",0.121546961325967,6.29256200184533,10.0282116812543,7.91492110458553e-12,3.9345952246573e-09,2.54573485820002e-09,"Wwtr1/Irx2/Tacstd2/Podxl/Magi2/Irx1/Osr1/Npnt/Bmp4/Gdnf/Myo1e/Egr1/Itga3/Erbb4/Sulf2/Pou3f3/Sall1/Gata3/Basp1/Kirrel3/Pbx1/Itgb3",22
"GO:1901888","GO:1901888","regulation of cell junction assembly","29/497","325/25730",0.0892307692307692,4.61953258009596,9.2159428941735,9.71713640117698e-12,4.34744682588658e-09,2.81285527402492e-09,"Il1rapl2/Podxl/Farp1/Nlgn1/Col16a1/Lrrn1/Mdga2/Wnt5a/Grid2/Thy1/Lrtm2/Elavl2/Epha2/Cldn5/Pkp2/Snai2/Ntrk2/Lhfpl4/Ptprj/Arf6/Asic2/Ntrk3/Ptk2/Cbln1/Map1b/Mmp14/Limch1/Wnt7a/Fzd5",29
