"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"chr19-6295925-6310866",9.7357100093942e-148,-0.934667410426812,0.393,0.592,1.72671579155615e-142
"chr16-23841670-23845601",7.67955887988103e-124,2.62334752335375,0.198,0.031,1.36203888337682e-118
"chr19-20599880-20607776",1.75651723317118e-102,1.81225509946036,0.253,0.072,3.11534139958008e-97
"chrX-83584530-83604474",1.22203365794263e-74,1.82408152070793,0.185,0.055,2.16738667539048e-69
"chr14-73086275-73096470",3.85497727285841e-69,1.14603072815786,0.322,0.143,6.83714914136895e-64
"chr1-51287923-51293408",5.06522672079978e-69,1.05311381767167,0.359,0.171,8.98363545974328e-64
"chr6-3182174-3184431",9.54321317056275e-65,1.74010970022551,0.174,0.051,1.69257474471784e-59
"chr18-45557793-45561592",1.10021080022119e-64,1.50778203692976,0.212,0.073,1.9513228731643e-59
"chr8-107542962-107548550",1.44655557860185e-62,1.53482799699097,0.2,0.067,2.56559650865246e-57
"chr6-126158932-126168436",1.21524954836098e-60,0.882667506864001,0.406,0.218,2.15535444647755e-55
"chr14-53132284-53135800",5.89221201950058e-60,-1.57948144958655,0.057,0.151,1.0450368315666e-54
"chr19-6333857-6336770",5.87610444323317e-59,-0.733771913363144,0.276,0.404,1.04218000794739e-53
"chr4-120611767-120616637",2.64674532646547e-58,1.04305283465845,0.315,0.15,4.6942410435659e-53
"chr3-57293821-57296465",3.40354757971329e-58,1.48867653859555,0.198,0.067,6.03649795190369e-53
"chr17-39842770-39849056",5.81837785160026e-58,0.261122408122239,0.992,0.997,1.03194167738197e-52
"chr13-10356935-10361955",8.75429819767728e-58,1.19856448611551,0.263,0.114,1.55265357404184e-52
"chr3-145209407-145211172",4.76597319639886e-52,1.35407309967152,0.208,0.077,8.45288240140105e-47
"chr4-130198236-130212887",6.28421954878954e-51,0.827240848258095,0.374,0.209,1.11456289495376e-45
"chr19-36924868-36934988",6.83916881962964e-50,0.634246504864468,0.508,0.347,1.21298814268069e-44
"chr19-19107337-19112641",4.03608180032553e-49,0.843182300362728,0.365,0.2,7.15835432023935e-44
"chr9-102716456-102727484",1.81772783154605e-48,0.618915843985501,0.519,0.353,3.22390390475175e-43
"chr2-170824664-170829856",8.38037116247983e-47,1.16737207607671,0.234,0.102,1.48633424900626e-41
"chr3-57572146-57578950",4.81050852514842e-46,0.937151953916439,0.309,0.154,8.53186981511799e-41
"chr11-31168613-31170666",7.33212711911072e-45,1.35033072115234,0.176,0.066,1.30041873371836e-39
"chr19-11107350-11108543",3.46144423305533e-44,1.40282397213444,0.171,0.061,6.13918287730461e-39
"chr18-10836718-10841597",6.24788350570712e-44,1.15932880166481,0.213,0.094,1.10811837068871e-38
"chr11-72413525-72417859",7.46968968677093e-44,1.23369066389532,0.198,0.081,1.324816693156e-38
"chr8-12427145-12432005",2.80354061662099e-43,1.1844514370764,0.204,0.087,4.97233160223282e-38
"chr8-27105835-27109401",7.00402365885983e-43,-1.04451733156882,0.101,0.188,1.24222663211172e-37
"chr17-50067768-50072612",1.02532716485943e-42,0.994328212082898,0.265,0.128,1.81851000632303e-37
"chr13-72621012-72633383",1.34180582751207e-42,0.749605749865278,0.383,0.228,2.37981339761713e-37
"chr1-171387006-171390969",3.06415499690999e-42,-0.724501249274875,0.211,0.307,5.43455466096959e-37
"chr17-6429310-6430899",4.66884270988771e-42,-0.96113669282103,0.123,0.218,8.28061274182974e-37
"chr7-30803328-30804884",6.44459395321863e-41,1.34974755947156,0.161,0.06,1.1430067389489e-35
"chr8-18909539-18913708",1.72321368332571e-40,1.02855905033582,0.239,0.112,3.05627455660964e-35
"chr5-150408615-150411593",2.6655074113221e-40,1.03245965424026,0.233,0.11,4.72751728964677e-35
"chr6-67530195-67536537",8.13817549581375e-40,0.612907907623416,0.468,0.305,1.44337866776203e-34
"chr5-37335935-37339818",6.60946075815102e-39,1.19003591368526,0.194,0.08,1.17224735060491e-33
"chr12-53484600-53486122",1.35464783953717e-38,1.31643610895651,0.159,0.059,2.40258986172474e-33
"chr13-11836140-11838690",2.13008633046515e-37,1.15671745212781,0.187,0.08,3.77789981484969e-32
"chr5-132882146-132886016",2.71405332969061e-37,1.2520373965304,0.172,0.069,4.81361784500598e-32
"chr1-138927808-138931701",3.31385230612038e-37,0.976694445085162,0.248,0.124,5.87741531161204e-32
"chr17-88273113-88275637",5.78718988378284e-37,0.953432830254055,0.243,0.12,1.02641021059784e-31
"chr6-92939655-92945188",5.91097103964672e-37,0.664333021926308,0.403,0.252,1.0483639126207e-31
"chr14-34497150-34504573",8.85727603969441e-37,0.846448288154396,0.297,0.16,1.57091762112416e-31
"chr17-4864848-4869218",2.04269609690715e-36,1.29773339270603,0.16,0.062,3.62290537051354e-31
"chr2-124615517-124619022",3.82600334244178e-36,1.16788364343025,0.185,0.078,6.78576126812132e-31
"chr9-92272993-92280846",2.05601078476662e-34,0.895153702232937,0.265,0.141,3.64652016775422e-29
"chr17-3006320-3039064",3.05095641924055e-34,0.582368071249768,0.432,0.307,5.41114579560084e-29
"chr3-98990158-98993042",3.83166702816349e-34,1.11061094755103,0.187,0.083,6.79580632448049e-29
"chrX-137568928-137574328",1.35911308317627e-33,1.10631705859801,0.185,0.081,2.41050937319059e-28
"chr19-37237144-37239774",2.76546889420149e-33,1.17668562237083,0.167,0.07,4.90480797606681e-28
"chr6-31516841-31519934",9.18464429029013e-33,0.776229077763481,0.296,0.17,1.62897932668157e-27
"chr6-53726146-53729491",1.98191564422563e-32,0.96074264642931,0.213,0.104,3.51510576744213e-27
"chr14-121108334-121111814",2.63847245313823e-32,1.18516551610017,0.162,0.068,4.67956835816143e-27
"chr5-77383361-77388929",1.06894582326971e-31,1.02755274713793,0.198,0.092,1.89587162269293e-26
"chr15-90663749-90670601",1.09556994787912e-31,0.88933870868446,0.239,0.125,1.94309190385894e-26
"chr4-117472422-117482490",1.1796151295634e-30,-0.554372479251996,0.246,0.326,2.09215359764234e-25
"chr3-26330845-26334372",1.20801247257987e-30,1.09485078812539,0.177,0.079,2.14251884124293e-25
"chr11-96275259-96287824",1.4465318539672e-30,0.574262700682527,0.42,0.282,2.56555443087769e-25
"chr11-114197837-114199485",1.57604693436561e-30,1.17524893119357,0.156,0.066,2.7952610823215e-25
"chr10-107122121-107124887",2.01701578789399e-30,1.13168120983248,0.155,0.07,3.5773590312509e-25
"chr5-19224096-19228849",4.18695491029004e-29,0.670339866459239,0.334,0.205,7.4259413593413e-24
"chr10-41957082-41960343",5.06016434541315e-29,1.00501458766317,0.18,0.089,8.97465688138131e-24
"chr4-130073939-130083581",9.54793462814465e-29,0.470559806004825,0.519,0.371,1.69341213771311e-23
"chr17-6467033-6469249",1.53789750742877e-28,-0.862639702181972,0.105,0.171,2.72759964020059e-23
"chr12-108911969-108916773",3.00561280790822e-28,0.969351139224822,0.191,0.094,5.33072481997794e-23
"chr15-87623329-87626284",3.03921005656341e-28,0.980697801254632,0.192,0.093,5.3903125642203e-23
"chr19-37374714-37378304",4.43244346678963e-28,0.519070434856971,0.443,0.312,7.86133740826343e-23
"chrY-90737333-90745058",4.45042787902144e-28,0.686563806210303,0.319,0.195,7.89323438195364e-23
"chr10-28073641-28077278",7.37722770761295e-28,0.697570598198069,0.313,0.186,1.30841772899453e-22
"chr6-107528884-107531573",1.02523373331385e-27,0.990543681890639,0.185,0.088,1.81834429706812e-22
"chr2-67564588-67568042",1.06096416250628e-27,0.719254581390886,0.287,0.168,1.88171542897951e-22
"chr5-37889694-37896602",1.75926471781171e-27,0.686518945486966,0.307,0.181,3.12021431086366e-22
"chr13-37108425-37111387",2.10222011289924e-27,1.11919937021882,0.156,0.068,3.72847657003696e-22
"chr11-3184089-3205278",2.2867010789954e-27,0.339165758306312,0.686,0.586,4.05567016669545e-22
"chr11-109011420-109012325",3.24400174596772e-27,0.289605808200537,0.762,0.713,5.75352905663088e-22
"chr13-71956195-71966117",4.00831953030775e-27,0.861130157780207,0.222,0.116,7.10911543575853e-22
"chr15-6871002-6875290",5.25576863170883e-27,0.863304796987786,0.212,0.111,9.32157868751246e-22
"chr12-9569263-9585720",5.33380522699302e-27,0.550704099611079,0.41,0.276,9.45998361254256e-22
"chr1-189859846-189862353",5.42759094556264e-27,0.904402041817488,0.198,0.101,9.62632102514044e-22
"chr15-82215285-82226429",9.37900970581773e-27,-0.581136711545405,0.207,0.272,1.66345178241413e-21
"chr12-67219209-67223301",1.09423038601575e-26,0.988732444044847,0.18,0.088,1.94071607033367e-21
"chr6-108229821-108238726",2.76028348449239e-26,0.706025477401494,0.299,0.176,4.89561118526085e-21
"chr4-149964308-149971399",3.40689405243714e-26,0.770197054070884,0.246,0.142,6.04243322246199e-21
"chr11-63134999-63137085",3.67283361319096e-26,0.9875007666559,0.168,0.082,6.51410096801935e-21
"chr14-65967846-65972056",5.69825175122886e-26,0.564809464284639,0.378,0.251,1.0106362323462e-20
"chr12-108936399-108939290",5.82589717580931e-26,0.953920954389472,0.176,0.087,1.03327529720436e-20
"chr12-77063669-77074252",6.21656444992097e-26,0.790715883756182,0.245,0.137,1.10256365427353e-20
"chr16-91968569-91972175",7.88494256552138e-26,0.6355700392764,0.332,0.205,1.39846552847831e-20
"chr6-56931154-56935344",8.15345260869477e-26,1.03543318851044,0.159,0.075,1.4460882012255e-20
"chr9-8898299-8903830",8.90775012464112e-26,0.644379117052606,0.322,0.202,1.57986965435622e-20
"chr12-111976404-111983686",1.06034948407783e-25,0.957653255157578,0.189,0.093,1.8806252414656e-20
"chr19-47882068-47889296",1.17361674646135e-25,0.660718602693583,0.316,0.195,2.08151492535639e-20
"chr19-6330623-6332628",1.83297348541489e-25,-0.814773919939463,0.105,0.168,3.25094344399699e-20
"chr6-26766022-26768606",1.91942769706447e-25,-0.759365304264394,0.12,0.182,3.40427776923656e-20
"chr3-132870801-132872443",4.2074536637966e-25,1.01643263705015,0.159,0.074,7.46229774357301e-20
"chr9-123461596-123462403",4.71831397253906e-25,0.409849434633282,0.524,0.417,8.36835447855556e-20
"chr8-23409095-23414066",5.53261830407257e-25,0.769961259416432,0.246,0.139,9.81259649792006e-20
"chr9-25074422-25076865",5.82572220749178e-25,1.05128884173549,0.151,0.068,1.03324426499853e-19
"chr16-97760837-97764454",6.37641473696714e-25,0.968261498933584,0.165,0.082,1.13091454133375e-19
"chr8-94170889-94175341",7.04079744961591e-25,0.757893521759436,0.242,0.141,1.24874879486643e-19
"chr5-98026989-98034779",7.58589817752492e-25,-0.523669855450317,0.223,0.287,1.34542731486764e-19
"chr3-65434568-65436262",7.77660098228438e-25,0.924402210367528,0.183,0.092,1.37925017361698e-19
"chr11-101220750-101222269",9.04089036348049e-25,0.888437041560399,0.191,0.097,1.60348327397654e-19
"chr6-126642099-126646703",1.49118654464716e-24,0.898975965695648,0.191,0.096,2.64475354372075e-19
"chr11-67666884-67669179",1.49796736128859e-24,0.878768783877446,0.207,0.109,2.65677993230783e-19
"chr17-73873381-73876725",3.98628144994357e-24,0.754233802586513,0.247,0.14,7.07002891680541e-19
"chr9-60542585-60548869",4.05112616472272e-24,0.756518889862349,0.236,0.133,7.18503685449056e-19
"chr14-46385048-46392050",4.32756893981701e-24,0.530987522958069,0.389,0.266,7.67533299597005e-19
"chr14-64011125-64018299",4.4233703780528e-24,0.827829372610592,0.212,0.114,7.84524546881066e-19
"chr14-28503299-28512219",7.00166871860812e-24,0.604893339339613,0.323,0.211,1.24180896226362e-18
"chr17-87794929-87800535",8.58333789676232e-24,-0.566099748595808,0.187,0.251,1.52233222603187e-18
"chr11-82038390-82042638",8.69684703515197e-24,0.990276624671114,0.156,0.075,1.54246409330752e-18
"chr9-68940553-68944517",8.79415918059909e-24,0.850778481109907,0.194,0.106,1.55972327811187e-18
"chr17-31832458-31859838",1.08272249401029e-23,-0.225765348816421,0.734,0.778,1.92030578815171e-18
"chr19-45549600-45553317",2.16361677682374e-23,-0.856809679865176,0.085,0.136,3.83736907920682e-18
"chr18-38540448-38545576",2.30598357717888e-23,0.817511821517148,0.209,0.117,4.0898694126487e-18
"chr11-86919471-86922006",3.19606662400366e-23,0.910442487563939,0.174,0.09,5.66851180366666e-18
"chr3-45375489-45383021",3.29186242370707e-23,0.558145892053827,0.36,0.241,5.83841427606262e-18
"chr6-129446262-129453365",3.37496431053038e-23,0.856299594220422,0.193,0.102,5.98580295151358e-18
"chr4-140698091-140722185",3.71281533197627e-23,-0.306767127378814,0.503,0.545,6.58501214463979e-18
"chr15-101252201-101277830",9.63798417733162e-23,-0.237736865127663,0.684,0.735,1.70938323570736e-17
"chr2-116059602-116068660",1.04588098036591e-22,0.556382818623774,0.351,0.236,1.85496404796718e-17
"chr19-40246553-40251586",1.10656641117639e-22,0.777807005632229,0.213,0.121,1.96259512119833e-17
"chr13-107598623-107602119",3.87084346933279e-22,0.880834344364821,0.178,0.093,6.86528926877394e-17
"chr9-69757121-69771780",5.28826477946905e-22,0.793346583090353,0.209,0.117,9.37921353021852e-17
"chr4-137887418-137893148",6.11430590429744e-22,0.971969001524639,0.152,0.075,1.08442718088029e-16
"chr18-11930593-11932802",6.51637922677986e-22,-0.828218370836317,0.083,0.139,1.15573850328245e-16
