"","tx_id","gene_name","gene_id","gene_biotype","type","closest_region","query_region","distance"
"ENSMUST00000004480","ENSMUST00000004480","Sst","ENSMUSG00000004366","protein_coding","utr","chr16-23889581-23889728","chr16-23841670-23845601",43979
"ENSMUST00000087638","ENSMUST00000087638","Aldh1a1","ENSMUSG00000053279","protein_coding","cds","chr19-20602012-20602077","chr19-20599880-20607776",0
"ENSMUST00000147740","ENSMUST00000147740","Dmd","ENSMUSG00000045103","protein_coding","gap","chrX-83489946-83627261","chrX-83584530-83604474",0
"ENSMUSE00000873619","ENSMUST00000163339","Rcbtb2","ENSMUSG00000022106","protein_coding","exon","chr14-73123037-73123132","chr14-73086275-73096470",26566
"ENSMUST00000051572","ENSMUST00000051572","Sdpr","ENSMUSG00000045954","protein_coding","cds","chr1-51289386-51289868","chr1-51287923-51293408",0
"ENSMUST00000120087","ENSMUST00000120087","Samd9l","ENSMUSG00000047735","protein_coding","utr","chr6-3372257-3372519","chr6-3182174-3184431",187825
"ENSMUST00000183850","ENSMUST00000183850","Kcnn2","ENSMUSG00000054477","protein_coding","cds","chr18-45561221-45561316","chr18-45557793-45561592",0
"ENSMUST00000166615","ENSMUST00000166615","Wwp2","ENSMUSG00000031930","protein_coding","cds","chr8-107548469-107548550","chr8-107542962-107548550",0
"ENSMUST00000112244","ENSMUST00000112244","Ntf3","ENSMUSG00000049107","protein_coding","cds","chr6-126164730-126164747","chr6-126158932-126168436",0
"ENSMUST00000148457","ENSMUST00000148457","Gm12860","ENSMUSG00000086187","lincRNA","gap","chr4-120615946-120620582","chr4-120611767-120616637",0
"ENSMUST00000171384","ENSMUST00000171384","Tm4sf1","ENSMUSG00000027800","protein_coding","cds","chr3-57294612-57294788","chr3-57293821-57296465",0
"ENSMUST00000182520","ENSMUST00000182520","Gm26917","ENSMUSG00000097971","processed_transcript","gap","chr17-39845141-39845443","chr17-39842770-39849056",0
"ENSMUST00000187510","ENSMUST00000187510","Chrm3","ENSMUSG00000046159","protein_coding","utr","chr13-10360264-10360844","chr13-10356935-10361955",0
"ENSMUST00000106192","ENSMUST00000106192","Odf2l","ENSMUSG00000028256","protein_coding","utr","chr3-145153513-145153915","chr3-145209407-145211172",55491
"ENSMUST00000023884","ENSMUST00000023884","Gm853","ENSMUSG00000023120","protein_coding","cds","chr4-130211341-130211441","chr4-130198236-130212887",0
"ENSMUST00000099494","ENSMUST00000099494","Btaf1","ENSMUSG00000040565","protein_coding","cds","chr19-36926388-36926401","chr19-36924868-36934988",0
"ENSMUST00000112832","ENSMUST00000112832","Rorb","ENSMUSG00000036192","protein_coding","cds","chr19-19110552-19110558","chr19-19107337-19112641",0
